1-2 toe syndactyly	HP:0010711
1-3 toe syndactyly	HP:0001459
1-5 finger complete cutaneous syndactyly	HP:0006088
1-5 finger syndactyly	HP:0010708
1-5 toe syndactyly	HP:0010713
1-minute APGAR score of 0	HP:0030927
1-minute APGAR score of 1	HP:0030928
11 pairs of ribs	HP:0000878
2-3 finger syndactyly	HP:0001233
2-3 toe cutaneous syndactyly	HP:0005709
2-3 toe syndactyly	HP:0004691
2-4 finger syndactyly	HP:0010709
2-4 toe cutaneous syndactyly	HP:0005768
2-4 toe syndactyly	HP:0010714
2-5 finger cutaneous syndactyly	HP:0005650
2-5 finger syndactyly	HP:0010692
2-hydroxyglutarate aciduria	HP:0032278
2nd-5th toe middle phalangeal hypoplasia	HP:0008083
3-4 finger cutaneous syndactyly	HP:0011939
3-4 finger syndactyly	HP:0006097
3-4 toe syndactyly	HP:0009779
3-Methylglutaconic aciduria	HP:0003535
3-Methylglutaric aciduria	HP:0003344
3-hydroxydicarboxylic aciduria	HP:0008160
4-5 finger syndactyly	HP:0010705
4-5 metacarpal synostosis	HP:0005867
4-5 toe syndactyly	HP:0004692
4-Hydroxyphenylpyruvic aciduria	HP:0003161
4-hydroxyphenylacetic aciduria	HP:0003607
4-layered lissencephaly	HP:0006818
5-minute APGAR score of 1	HP:0030921
5-minute APGAR score of 5	HP:0030925
6 metacarpals	HP:0001501
AA amyloidosis	HP:4000041
AV nodal tachycardia	HP:0011687
Abdominal adhesions	HP:0033134
Abdominal aortic aneurysm	HP:0005112
Abdominal colic	HP:0011848
Abdominal cramps	HP:0032155
Abdominal distention	HP:0003270
Abdominal mass	HP:0031500
Abdominal obesity	HP:0012743
Abdominal pain	HP:0002027
Abdominal rigidity	HP:0032545
Abdominal situs ambiguus	HP:0031565
Abdominal situs inversus	HP:0003363
Abdominal symptom	HP:0011458
Abdominal wall defect	HP:0010866
Abdominal wall muscle weakness	HP:0009023
Abducens palsy	HP:0006897
Aberrant melanosome maturation	HP:0007384
Abetalipoproteinemia	HP:0008181
Ablepharon	HP:0011224
Abnormal 1st metacarpal morphology	HP:0010009
Abnormal 2nd finger morphology	HP:0004100
Abnormal 2nd metacarpal morphology	HP:0010010
Abnormal 3rd finger morphology	HP:0004150
Abnormal 3rd finger phalanx morphology	HP:0009316
Abnormal 3rd metacarpal morphology	HP:0010011
Abnormal 4th finger morphology	HP:0004188
Abnormal 4th finger phalanx morphology	HP:0009172
Abnormal 4th metacarpal morphology	HP:0010012
Abnormal 5th finger morphology	HP:0004207
Abnormal 5th finger phalanx morphology	HP:0004213
Abnormal 5th metacarpal morphology	HP:0010013
Abnormal B cell count	HP:0010975
Abnormal B cell morphology	HP:0002846
Abnormal B cell proliferation	HP:0031380
Abnormal B cell subset distribution	HP:0025539
Abnormal B-type natriuretic peptide level	HP:0031138
Abnormal Bowman capsule morphology	HP:0031264
Abnormal C-peptide level	HP:0030794
Abnormal C-reactive protein level	HP:0032436
Abnormal CD4+CD25+ regulatory T cell proportion	HP:0020111
Abnormal CD4:CD8 ratio	HP:0031394
Abnormal CD69 upregulation upon TCR activation	HP:0031267
Abnormal CNS myelination	HP:0011400
Abnormal CSF alanine concentration	HP:0500232
Abnormal CSF albumin concentration	HP:0500238
Abnormal CSF amino acid concentration	HP:0500184
Abnormal CSF arginine concentration	HP:0500202
Abnormal CSF aspartate family amino acid concentration	HP:0500205
Abnormal CSF biopterin concentration	HP:0040207
Abnormal CSF carboxylic acid concentration	HP:0500183
Abnormal CSF glucose concentration	HP:0031884
Abnormal CSF glutamine concentration	HP:0500196
Abnormal CSF glutamine family amino acid concentration	HP:0500195
Abnormal CSF glycine concentration	HP:0500229
Abnormal CSF homovanillic acid concentration	HP:0034200
Abnormal CSF lactate concentration	HP:0030085
Abnormal CSF lysine concentration	HP:0500206
Abnormal CSF metabolite concentration	HP:0025454
Abnormal CSF neopterin concentration	HP:0040203
Abnormal CSF ornithine concentration	HP:0500243
Abnormal CSF protein level	HP:0025456
Abnormal CSF pyruvate family amino acid concentration	HP:0500231
Abnormal CSF serine family amino acid concentration	HP:0500225
Abnormal CSF/serum albumin ratio	HP:0030981
Abnormal DLCO	HP:0045049
Abnormal Descemet membrane morphology	HP:0011490
Abnormal EKG	HP:0003115
Abnormal Eustachian tube morphology	HP:0040115
Abnormal HDL cholesterol concentration	HP:0031888
Abnormal Ishihara plate test	HP:0030586
Abnormal LDL cholesterol concentration	HP:0031886
Abnormal MHC II surface expression	HP:0031389
Abnormal OCT-measured foveal thickness	HP:0030617
Abnormal P wave	HP:0031595
Abnormal PR interval	HP:0031593
Abnormal QRS complex	HP:0025074
Abnormal QRS voltage	HP:0025076
Abnormal QT interval	HP:0031547
Abnormal ST segment	HP:0012249
Abnormal Sharpey fiber morphology	HP:0100685
Abnormal T cell activation	HP:0410035
Abnormal T cell count	HP:0011839
Abnormal T cell morphology	HP:0002843
Abnormal T cell proliferation	HP:0031379
Abnormal T cell subset distribution	HP:0025540
Abnormal T-wave	HP:0005135
Abnormal T3/T4 ratio	HP:0012558
Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	HP:0033080
Abnormal U wave	HP:0025070
Abnormal VLDL cholesterol concentration	HP:0031889
Abnormal Z disc morphology	HP:0020202
Abnormal abdomen morphology	HP:0001438
Abnormal acetabulum morphology	HP:0003170
Abnormal activity of mitochondrial respiratory chain	HP:0011922
Abnormal adiponectin level	HP:0030684
Abnormal adipose tissue morphology	HP:0009124
Abnormal aggressive, impulsive or violent behavior	HP:0006919
Abnormal aldolase level	HP:0012400
Abnormal alpha granule content	HP:0012527
Abnormal alpha granules	HP:0012483
Abnormal alveolar macrophage morphology	HP:0032984
Abnormal alveolar type II pneumocyte morphology	HP:0033245
Abnormal amplitude of dark-adapted bright flash electroretinogram	HP:0030478
Abnormal amplitude of flash visual evoked potentials	HP:0030462
Abnormal amplitude of pattern reversal visual evoked potentials	HP:0000650
Abnormal amygdala morphology	HP:0033668
Abnormal anatomic location of the heart	HP:0004307
Abnormal anterior chamber morphology	HP:0000593
Abnormal anterior eye segment morphology	HP:0004328
Abnormal anterior horn cell morphology	HP:0006802
Abnormal antihelix morphology	HP:0009738
Abnormal antitragus morphology	HP:0009896
Abnormal antral follicle count	HP:0033084
Abnormal aortic arch morphology	HP:0012303
Abnormal aortic morphology	HP:0001679
Abnormal aortic valve cusp morphology	HP:0031567
Abnormal aortic valve morphology	HP:0001646
Abnormal aortic valve physiology	HP:0031652
Abnormal apoptosis	HP:4000056
Abnormal appendicular skeleton morphology	HP:0011844
Abnormal arachnoid mater morphology	HP:0100700
Abnormal areolar morphology	HP:0032314
Abnormal arm span	HP:0012769
Abnormal arterial physiology	HP:0025323
Abnormal aryepiglottic fold morphology	HP:0008744
Abnormal ascending aorta morphology	HP:0031784
Abnormal astrocyte morphology	HP:0100707
Abnormal atrial arrangement	HP:0011535
Abnormal atrial septum morphology	HP:0011994
Abnormal atrioventricular conduction	HP:0005150
Abnormal atrioventricular connection	HP:0011546
Abnormal atrioventricular valve morphology	HP:0006705
Abnormal atrioventricular valve physiology	HP:0031650
Abnormal auditory evoked potentials	HP:0006958
Abnormal autonomic nervous system morphology	HP:0012331
Abnormal autonomic nervous system physiology	HP:0012332
Abnormal axial muscle morphology	HP:0040286
Abnormal axial skeleton morphology	HP:0009121
Abnormal axonemal organization of respiratory motile cilia	HP:0012258
Abnormal basal ganglia MRI signal intensity	HP:0012751
Abnormal basophil count	HP:0031806
Abnormal basophil morphology	HP:0001912
Abnormal best corrected visual acuity test	HP:0030534
Abnormal biliary tract morphology	HP:0012440
Abnormal biotinidase level	HP:0410144
Abnormal bleeding	HP:0001892
Abnormal blistering of the skin	HP:0008066
Abnormal blood 5-methyltetrahydrofolate level	HP:0410216
Abnormal blood carbon dioxide level	HP:0500164
Abnormal blood cation concentration	HP:0010929
Abnormal blood chloride concentration	HP:0011422
Abnormal blood folate concentration	HP:0040087
Abnormal blood gas level	HP:0012415
Abnormal blood glucose concentration	HP:0011015
Abnormal blood inorganic cation concentration	HP:0010927
Abnormal blood ion concentration	HP:0003111
Abnormal blood monovalent inorganic cation concentration	HP:0010930
Abnormal blood oxygen level	HP:0500165
Abnormal blood phosphate concentration	HP:0100529
Abnormal blood potassium concentration	HP:0011042
Abnormal blood sodium concentration	HP:0010931
Abnormal blood transition element cation concentration	HP:0011030
Abnormal blood urea nitrogen concentration	HP:0031970
Abnormal blood vessel morphology	HP:0033353
Abnormal blood zinc concentration	HP:0008277
Abnormal bone collagen fibril morphology	HP:0011862
Abnormal bone ossification	HP:0011849
Abnormal bone structure	HP:0003330
Abnormal bowel sounds	HP:0030142
Abnormal brain FDG positron emission tomography	HP:0012658
Abnormal brain N-acetyl aspartate level by MRS	HP:0025052
Abnormal brain choline level by MRS	HP:0025047
Abnormal brain creatine level by MRS	HP:0025049
Abnormal brain lactate level by MRS	HP:0025045
Abnormal brain positron emission tomography	HP:0012657
Abnormal brainstem MRI signal intensity	HP:0012747
Abnormal brainstem morphology	HP:0002363
Abnormal branching pattern of left aortic arch	HP:0031055
Abnormal branching pattern of the aortic arch	HP:0011587
Abnormal breast morphology	HP:0031093
Abnormal breast physiology	HP:0031094
Abnormal breath sound	HP:0030829
Abnormal bronchoalveolar fluid protein level	HP:0032975
Abnormal bronchoalveolar lavage fluid morphology	HP:0032973
Abnormal bronchus morphology	HP:0025426
Abnormal bronchus physiology	HP:0025427
Abnormal calcification of the carpal bones	HP:0009164
Abnormal calcium-phosphate regulating hormone level	HP:0100530
Abnormal capillary physiology	HP:0025018
Abnormal cardiac atrial physiology	HP:0025443
Abnormal cardiac atrium morphology	HP:0005120
Abnormal cardiac biomarker test	HP:0500020
Abnormal cardiac exercise stress test	HP:0500018
Abnormal cardiac magnetic resonance imaging finding	HP:4000001
Abnormal cardiac septum morphology	HP:0001671
Abnormal cardiac test	HP:0500015
Abnormal cardiac ventricle morphology	HP:0001713
Abnormal cardiac ventricular function	HP:0030872
Abnormal cardiomyocyte morphology	HP:0031331
Abnormal cardiovascular system physiology	HP:0011025
Abnormal carotid artery morphology	HP:0005344
Abnormal carpal morphology	HP:0001191
Abnormal cartilage collagen	HP:0008271
Abnormal cartilage morphology	HP:0002763
Abnormal caudate nucleus morphology	HP:0002339
Abnormal celiac artery morphology	HP:0012326
Abnormal cell morphology	HP:0025461
Abnormal cell proliferation	HP:0031377
Abnormal cellular composition of bronchoalveolar fluid	HP:0032974
Abnormal cellular immune system morphology	HP:0010987
Abnormal cellular phenotype	HP:0025354
Abnormal cellular physiology	HP:0011017
Abnormal central microtubular pair morphology of respiratory motile cilia	HP:0012260
Abnormal central motor function	HP:0011442
Abnormal central sensory function	HP:0011730
Abnormal cerebellar cortex morphology	HP:0031422
Abnormal cerebellar peduncle morphology	HP:0011931
Abnormal cerebellar vermis morphology	HP:0002334
Abnormal cerebellum morphology	HP:0001317
Abnormal cerebral artery morphology	HP:0009145
Abnormal cerebral cortex morphology	HP:0002538
Abnormal cerebral morphology	HP:0002060
Abnormal cerebral vascular morphology	HP:0100659
Abnormal cerebral vein morphology	HP:0012480
Abnormal cerebral ventricle morphology	HP:0002118
Abnormal cerebral white matter morphology	HP:0002500
Abnormal cervical curvature	HP:0005905
Abnormal cervical spine morphology	HP:0046508
Abnormal chondrocyte morphology	HP:0032929
Abnormal chorioretinal morphology	HP:0000532
Abnormal choroid morphology	HP:0000610
Abnormal choroid plexus morphology	HP:0007376
Abnormal chromosome morphology	HP:0031411
Abnormal chylomicron concentration	HP:0031887
Abnormal ciliary body morphology	HP:0012776
Abnormal ciliary motility	HP:0012262
Abnormal circle of Willis morphology	HP:0012518
Abnormal circulating 18-hydroxycorticosterone level	HP:0020198
Abnormal circulating GABA concentration	HP:0034025
Abnormal circulating IgA level	HP:0410240
Abnormal circulating IgD level	HP:0410244
Abnormal circulating IgE level	HP:0410241
Abnormal circulating IgG level	HP:0410242
Abnormal circulating IgM level	HP:0410243
Abnormal circulating T4 level	HP:0031505
Abnormal circulating acetylcarnitine concentration	HP:0012071
Abnormal circulating alanine concentration	HP:0010916
Abnormal circulating albumin concentration	HP:0012116
Abnormal circulating aldosterone	HP:0040085
Abnormal circulating amino acid concentration	HP:0003112
Abnormal circulating amino sulfonic acid concentration	HP:0500180
Abnormal circulating amylase level	HP:0410282
Abnormal circulating androgen level	HP:0030347
Abnormal circulating androstenedione concentration	HP:0033811
Abnormal circulating antimullerian hormone concentration	HP:0031101
Abnormal circulating apolipoprotein concentration	HP:0025201
Abnormal circulating arginine concentration	HP:0010909
Abnormal circulating aromatic amino acid concentration	HP:0004338
Abnormal circulating aspartate family amino acid concentration	HP:0010899
Abnormal circulating beta globulin level	HP:0025465
Abnormal circulating beta-C-terminal telopeptide level	HP:0031424
Abnormal circulating bilirubin concentration	HP:0033479
Abnormal circulating biopterin concentration	HP:0040210
Abnormal circulating branched chain amino acid concentration	HP:0010892
Abnormal circulating calcium concentration	HP:0004363
Abnormal circulating carbohydrate concentration	HP:0011013
Abnormal circulating carboxylic acid concentration	HP:0004354
Abnormal circulating carnitine concentration	HP:0010967
Abnormal circulating ceruloplasmin concentration	HP:0033144
Abnormal circulating cholesterol concentration	HP:0003107
Abnormal circulating citrulline concentration	HP:0011965
Abnormal circulating copper concentration	HP:0010836
Abnormal circulating corticosterone level	HP:0012112
Abnormal circulating creatine concentration	HP:0012113
Abnormal circulating creatine kinase concentration	HP:0040081
Abnormal circulating creatinine concentration	HP:0012100
Abnormal circulating cysteine concentration	HP:0010918
Abnormal circulating dehydroepiandrosterone concentration	HP:0500022
Abnormal circulating dicarboxylic acid concentration	HP:0010995
Abnormal circulating eicosanoid concentration	HP:0030361
Abnormal circulating estrogen level	HP:0025132
Abnormal circulating fatty-acid anion concentration	HP:0010966
Abnormal circulating fatty-acid concentration	HP:0004359
Abnormal circulating ferritin concentration	HP:0040133
Abnormal circulating follicle-stimulating hormone concentration	HP:0030346
Abnormal circulating free T3 level	HP:0032209
Abnormal circulating free T4 level	HP:0033076
Abnormal circulating free fatty acid concentration	HP:0040300
Abnormal circulating gastrin concentration	HP:0500166
Abnormal circulating globulin level	HP:0032179
Abnormal circulating glutamate concentration	HP:0500148
Abnormal circulating glutamine concentration	HP:0010903
Abnormal circulating glutamine family amino acid concentration	HP:0010902
Abnormal circulating glycine concentration	HP:0010895
Abnormal circulating gonadotropin concentration	HP:0030338
Abnormal circulating histidine concentration	HP:0010904
Abnormal circulating homocysteine concentration	HP:0010919
Abnormal circulating hormone concentration	HP:0003117
Abnormal circulating inhibin level	HP:0031099
Abnormal circulating insulin level	HP:0040215
Abnormal circulating interleukin 10 concentration	HP:0034162
Abnormal circulating interleukin concentration	HP:0030782
Abnormal circulating isoleucine concentration	HP:0010912
Abnormal circulating leucine concentration	HP:0004357
Abnormal circulating lipid concentration	HP:0003119
Abnormal circulating lipoprotein lipase concentration	HP:0033477
Abnormal circulating long-chain fatty-acid concentration	HP:0010964
Abnormal circulating luteinizing hormone concentration	HP:0030345
Abnormal circulating lysine concentration	HP:0010908
Abnormal circulating metabolite concentration	HP:0032180
Abnormal circulating methionine concentration	HP:0010901
Abnormal circulating monocarboxylic acid cocentration	HP:0010996
Abnormal circulating neopterin concentration	HP:0040206
Abnormal circulating nitrogen compound concentration	HP:0004364
Abnormal circulating non-proteinogenic amino acid concentration	HP:0033109
Abnormal circulating nucleobase concentration	HP:0010932
Abnormal circulating ornithine concentration	HP:0012025
Abnormal circulating osteocalcin level	HP:0031427
Abnormal circulating phenylalanine concentration	HP:0010893
Abnormal circulating phospholipid concentration	HP:0040176
Abnormal circulating phytanic acid concentration	HP:0010965
Abnormal circulating porphyrin concentration	HP:0010472
Abnormal circulating pregnenolone concentration	HP:0031187
Abnormal circulating progesterone level	HP:0031212
Abnormal circulating proline concentration	HP:0010907
Abnormal circulating prostaglandin circulation	HP:0011023
Abnormal circulating protein concentration	HP:0010876
Abnormal circulating proteinogenic amino acid concentration	HP:0033107
Abnormal circulating proteinogenic amino acid derivative concentration	HP:0033108
Abnormal circulating purine concentration	HP:0004352
Abnormal circulating pyruvate family amino acid concentration	HP:0010915
Abnormal circulating renin	HP:0040084
Abnormal circulating sarcosine concentration	HP:0010898
Abnormal circulating selenium concentration	HP:0031903
Abnormal circulating serine concentration	HP:0012278
Abnormal circulating serine family amino acid concentration	HP:0010894
Abnormal circulating sex hormone concentration	HP:0033799
Abnormal circulating sulfur amino acid concentration	HP:0004339
Abnormal circulating testosterone concentration	HP:0030087
Abnormal circulating threonine concentration	HP:0010900
Abnormal circulating thromboxane concentration	HP:0030389
Abnormal circulating thyroglobulin level	HP:0025483
Abnormal circulating transferrin concentration	HP:0032385
Abnormal circulating tryptophan concentration	HP:0004365
Abnormal circulating tyrosine concentration	HP:0010917
Abnormal circulating unsaturated fatty acid concentration	HP:0011022
Abnormal circulating valine concentration	HP:0010914
Abnormal circulating vitamin B6 level	HP:0032476
Abnormal clavicle morphology	HP:0000889
Abnormal coagulation factor V activity	HP:0031899
Abnormal coccyx morphology	HP:0008519
Abnormal cochlea morphology	HP:0000375
Abnormal common carotid artery morphology	HP:0430021
Abnormal concentration of acylcarnitine in the urine	HP:0500170
Abnormal conjugate eye movement	HP:0000549
Abnormal conjunctiva morphology	HP:0000502
Abnormal connection of the cardiac segments	HP:0011545
Abnormal consumption behavior	HP:0040202
Abnormal conus terminalis morphology	HP:0031938
Abnormal cornea morphology	HP:0000481
Abnormal corneal endothelium morphology	HP:0011488
Abnormal corneal epithelium morphology	HP:0011495
Abnormal corneal reflex	HP:0034251
Abnormal coronary artery course	HP:0011686
Abnormal coronary artery morphology	HP:0006704
Abnormal coronary artery origin	HP:0011636
Abnormal coronary artery physiology	HP:0025496
Abnormal coronary sinus morphology	HP:0011642
Abnormal corpus callosum morphology	HP:0001273
Abnormal corpus striatum morphology	HP:0010994
Abnormal cortical bone morphology	HP:0003103
Abnormal cortical gyration	HP:0002536
Abnormal cranial nerve morphology	HP:0001291
Abnormal cranial nerve physiology	HP:0031910
Abnormal cricoid cartilage morphology	HP:3000038
Abnormal cry	HP:0025429
Abnormal cutaneous elastic fiber morphology	HP:0025082
Abnormal dark-adapted bright flash electroretinogram	HP:0030470
Abnormal dark-adapted electroretinogram	HP:0030469
Abnormal delayed hypersensitivity skin test	HP:0002963
Abnormal delivery	HP:0001787
Abnormal dense granule content	HP:0012529
Abnormal dense granules	HP:0012484
Abnormal dental enamel morphology	HP:0000682
Abnormal dental pulp morphology	HP:0006479
Abnormal dental root morphology	HP:0006486
Abnormal dentate nucleus morphology	HP:0100321
Abnormal dentin morphology	HP:0010299
Abnormal dermatoglyphics	HP:0007477
Abnormal dermoepidermal hemidesmosome morphology	HP:0032449
Abnormal dermoepidermal junction morphology	HP:0031538
Abnormal diaphysis morphology	HP:0000940
Abnormal diffusion weighted cerebral MRI morphology	HP:0032615
Abnormal digit morphology	HP:0011297
Abnormal distal phalanx morphology of finger	HP:0009832
Abnormal drinking behavior	HP:0030082
Abnormal drug response	HP:0020169
Abnormal duodenum morphology	HP:0002246
Abnormal dura mater morphology	HP:0010652
Abnormal ear morphology	HP:0031703
Abnormal ear physiology	HP:0031704
Abnormal earlobe morphology	HP:0000363
Abnormal eating behavior	HP:0100738
Abnormal echocardiogram	HP:0003116
Abnormal ejaculation	HP:0012875
Abnormal elasticity of skin	HP:0010647
Abnormal electrooculogram	HP:0030454
Abnormal electrophysiology of sinoatrial node origin	HP:0011702
Abnormal electroretinogram	HP:0000512
Abnormal embryonic development	HP:0033334
Abnormal emotion/affect behavior	HP:0100851
Abnormal enchondral ossification	HP:0003336
Abnormal endocardium morphology	HP:0004306
Abnormal endocrine morphology	HP:0031071
Abnormal endocrine physiology	HP:0031072
Abnormal energy expenditure	HP:0012338
Abnormal enzyme/coenzyme activity	HP:0012379
Abnormal eosinophil count	HP:0020064
Abnormal eosinophil morphology	HP:0001879
Abnormal epidermal morphology	HP:0011124
Abnormal epidermis stratum granulosum morphology	HP:0033806
Abnormal epiglottis morphology	HP:0005483
Abnormal epiphyseal ossification	HP:0010656
Abnormal epiphysis morphology of the phalanges of the hand	HP:0005920
Abnormal erythrocyte enzyme level	HP:0030272
Abnormal erythrocyte morphology	HP:0001877
Abnormal erythrocyte physiology	HP:0020054
Abnormal erythrocyte sedimentation rate	HP:0025021
Abnormal erythroid lineage cell morphology	HP:0012130
Abnormal esophagus morphology	HP:0002031
Abnormal esophagus physiology	HP:0025270
Abnormal external genitalia	HP:0000811
Abnormal exteroceptive sensation	HP:0033747
Abnormal extraocular muscle physiology	HP:0025590
Abnormal eye morphology	HP:0012372
Abnormal eye physiology	HP:0012373
Abnormal eyebrow morphology	HP:0000534
Abnormal eyelash morphology	HP:0000499
Abnormal eyelid morphology	HP:0000492
Abnormal eyelid movement	HP:0031785
Abnormal eyelid physiology	HP:0031879
Abnormal facial expression	HP:0005346
Abnormal facial shape	HP:0001999
Abnormal facial skeleton morphology	HP:0011821
Abnormal facility in opposing the shoulders	HP:0005259
Abnormal factor IX activity	HP:0033062
Abnormal factor VIII activity	HP:0030976
Abnormal fallopian tube morphology	HP:0011027
Abnormal fear/anxiety-related behavior	HP:0100852
Abnormal fecal osmolality	HP:0032485
Abnormal female meiosis	HP:0033338
Abnormal female reproductive system physiology	HP:0030012
Abnormal femoral head morphology	HP:0003368
Abnormal femoral neck morphology	HP:0003367
Abnormal femoral neck/head morphology	HP:0003366
Abnormal femoral torsion	HP:0031069
Abnormal fetal cardiovascular morphology	HP:0010948
Abnormal fetal cardiovascular physiology	HP:0034190
Abnormal fetal gastrointestinal system morphology	HP:0034207
Abnormal fetal genitourinary system morphology	HP:0034242
Abnormal fetal morphology	HP:0034058
Abnormal fetal nasal bone visualization	HP:0025705
Abnormal fetal nervous system morphology	HP:0034206
Abnormal fetal physiology	HP:0034059
Abnormal fetal pulmonary morphology	HP:0034243
Abnormal fetal skeletal morphology	HP:0025662
Abnormal fetal skin morphology	HP:0025723
